aalib 1.4rc5-13
hitori 3.22.4-1
hspell 1.4-1
htop 2.2.0-2
http-parser 2.9.0-1
httpie 1.0.2-1
hub 2.11.1-1
hunspell 1.7.0-2
hunspell-en_US 2018.04.16-5
hwids 20180917-1
hyphen 2.8.8-2
i3-gaps 4.16.1-1
i3-gnome 1:3.32.1-1
i3lock-color-git r506.5bbdd02-1
iagno 3.32.0-1
iana-etc 20190312-1
icu 63.1-2
idnkit 1.0-4
ijs 0.35-2
ilmbase 2.3.0-1
imagemagick 7.0.8.35-1
imlib2 1.5.1-1
inetutils 1.9.4-7
insomnia 6.3.2-1
intel-tbb 2019.3-1
iproute2 5.0.0-1
iptables 1:1.8.2-1
iputils 20180629.f6aac8d-4
ipython 7.3.0-1
iso-codes 4.2-1
iw 5.0.1-1
jack 0.125.0-7
jansson 2.12-1
jasper 2.0.16-1
javascript-typescript-langserver 2.11.3-1
jbig2dec 0.15-1
jemalloc 1:5.1.0-1
jfsutils 1.1.15-6
jq 1.6-2
js52 52.9.0-2
js60 60.5.2-1
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.8.4-2
jsonrpc-glib 3.32.0-1
kbd 2.0.4-2
keyutils 1.6-1
kiibohd-configurator-bin 1.0.0-1
kmod 26-2
krb5 1.16.1-1
kubernetes-helm-bin 2.13.1-1
kubernetes-helmfile-bin 0.44.0-1
l-smash 2.14.5-1
ladspa 1.15-1
lame 3.100-2
lapack 3.8.0-2
lcms2 2.9-1
ldb 1:1.5.4-2
ldns 1.7.0-4
lenovo-throttling-fix-git 0.110.73df1ff-1
lensfun 0.3.2-7
less 530-1
leveldb 1.20-2
lib32-glibc 2.28-5
libaio 0.3.111-2
libao 1.2.2-2
libarchive 3.3.3-1
libass 0.14.0-1
libassuan 2.5.3-1
libasyncns 0.8+3+g68cd5af-2
libatasmart 0.19-4
libatomic_ops 7.6.10-1
libavc1394 0.5.4-3
libblockdev 2.21-1
libbluray 1.1.0-1
libbs2b 3.1.0-6
libbsd 0.9.1-1
libbytesize 1.4-1
libcaca 0.99.beta19-2
libcacard 2.6.1-1
libcanberra 0.30+2+gc0620e4-2
libcanberra-pulse 0.30+2+gc0620e4-2
libcap 2.26-1
libcap-ng 0.7.9-1
libcddb 1.3.2-5
libcdio 2.0.0-1
libcdio-paranoia 10.2+2.0.0-1
libchamplain 0.12.19-1
libconfig 1.7.2-1
libcroco 0.6.12+4+g9ad7287-2
libcryptui 3.12.2+41+gf29d1d37-2
libcue 2.2.1-1
libcups 2.2.11-1
libcurl-compat 7.64.1-1
libdaemon 0.14-4
libdatrie 0.2.12-1
libdazzle 3.32.0-1
libdc1394 2.2.5-2
libdca 0.0.6-1
libdmapsharing 2.9.39-2
libdmx 1.1.4-1
libdrm 2.4.97-1
libdv 1.0.0-7
libdvdnav 6.0.0-1
libdvdread 6.0.1-1
libedit 20181209_3.1-1
libelf 0.176-1
libepoxy 1.5.3-1
libev 4.25-1
libevdev 1.6.0-1
libexif 0.6.21-3
libfdk-aac 2.0.0-1
libffi 3.2.1-3
libfontenc 1.1.4-1
libgcrypt 1.8.4-1
libgdata 0.17.9-1
libgdm 3.32.0+2+g820f90f5-1
libgee 0.20.1-2
libgepub 0.6-1
libgexiv2 0.12.0-1
libgit2 1:0.27.8-1
libgit2-glib 0.27.8-1
libglvnd 1.1.1-1
libgme 0.6.2-1
libgnome-games-support 1.4.3-1
libgnomekbd 3.26.1-1
libgovirt 0.3.4+45+g46288e8-1
libgpg-error 1.36-1
libgphoto2 2.5.22-1
libgrss 0.7.0+16+g971c421-2
libgsf 1.14.45-1
libgtop 2.40.0-1
libgudev 232-1
libgusb 0.3.0-1
libgweather 3.32.1-1
libgxps 0.3.1-1
libhandy 0.0.9-1
libibus 1.5.20-2
libical 3.0.4-2
libice 1.0.9-2
libicns 0.8.1-6
libid3tag 0.15.1b-9
libidn 1.35-1
libidn2 2.1.1-2
libiec61883 1.2.0-5
libieee1284 0.2.11-7
libimobiledevice 1.2.0+87+g92c5462-1
libinput 1.13.0-1
libiptcdata 1.0.4-4
libiscsi 1.18.0-1
libjpeg-turbo 2.0.2-1
libkeybinder3 0.3.2-2
libksba 1.3.5-1
libldap 2.4.47-1
liblouis 3.8.0-1
liblqr 0.4.2-2
libmad 0.15.1b-8
libmagick 7.0.8.35-1
libmanette 0.2.2-1
libmbim 1.18.0-1
libmediaart 1.9.4+1+ga704d0b-1
libmm-glib 1.10.0-1
libmms 0.6.4-2
libmnl 1.0.4-2
libmodplug 0.8.9.0-2
libmp4v2 2.0.0-5
libmpc 1.1.0-1
libmpcdec 1:0.1+r475-2
libmpeg2 0.5.1-6
libmspack 1:0.9.1alpha-1
libmtp 1.1.16-1
libmusicbrainz5 5.1.0-3
libnautilus-extension 3.32.0+5+g73876bdcd-1
libndp 1.7-1
libnetfilter_conntrack 1.0.7-1
libnewt 0.52.20-2
libnfnetlink 1.0.1-3
libnfs 4.0.0-3
libnftnl 1.1.1-1
libnghttp2 1.36.0-1
libnice 0.1.15-2
libnl 3.4.0-1
libnm 1.16.0-1
libnm-glib 1.16.0-1
libnma 1.8.21dev+3+gb4c365b1-1
libnotify 0.7.7-2
libnsl 1.2.0-1
liboauth 1.0.3+14+g186fb14-1
libofa 0.9.3-8
libogg 1.3.3-3
libomxil-bellagio 0.9.3-2
libosinfo 1.4.0-1
libpackagekit-glib 1.1.12-1
libpaper 1.1.24-11
libpcap 1.9.0-1
libpciaccess 0.14-1
libpeas 1.22.0-3
libpgm 5.2.122-3
libphonenumber 8.10.6-1
libpipeline 1.5.1-1
libplist 2.0.0+11+gec9ba8b-2
libpng 1.6.36-1
libproxy 0.4.15-8
libpsl 0.20.2-5
libpst 0.6.72-2
libpulse 12.2-2
libpwquality 1.4.0-2
libqmi 1.22.2-1
libquvi 0.9.4-5
libquvi-scripts 0.9.20131130-4
libraqm 0.5.0-1
libraw 0.19.2-1
libraw1394 2.1.2-2
librsvg 2:2.44.13-1
libsamplerate 0.1.9-2
libsasl 2.1.27-1
libseccomp 2.4.0-1
libsecret 0.18.8-2
libshout 1:2.4.1-4
libsigc++ 2.10.1-1
libsm 1.2.3-1
libsmbios 2.4.2-1
libsndfile 1.0.28-2
libsodium 1.0.17-1
libsoup 2.66.0-1
libsoxr 0.1.3-1
libspectre 0.2.8-2
libspeechd 0.9.0-1
libspiro 1:0.5.20150702-2
libsrtp 1:2.2.0-1
libssh 0.8.7-1
libssh2 1.8.1-1
libstemmer 0+337-3
libsynctex 2018.48691-7
libtasn1 4.13-1
libteam 1.28-2
libtermkey 0.22-1
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.0.10-1
libtirpc 1.1.4-1
libtool 2.4.6+42+gb88cebd5-2
libu2f-host 1.1.9-1
libunistring 0.9.10-1
libunwind 1.3.1-1
liburcu 0.10.2-1
libusb 1.0.22-1
libusbmuxd 1.0.10+29+g9db5747-1
libutempter 1.1.6-3
libutil-linux 2.33.1-2
libuv 1.27.0-1
libva 2.4.0-1
libvdpau 1.2-1
libvirt 5.1.0-1
libvirt-glib 2.0.0-1
libvisual 0.4.0-7
libvoikko 4.2-1
libvorbis 1.3.6-1
libvpx 1.8.0-1
libvterm 0.1.git3.7a3913a-1
libwacom 0.32-1
libwbclient 4.10.0-3
libwebp 1.0.2-1
libwnck3 3.30.0-1
libx11 1.6.7-1
libxau 1.0.9-1
libxaw 1.0.13-2
libxcb 1.13.1-1
libxcomposite 0.4.5-1
libxcursor 1.2.0-1
libxdamage 1.1.5-1
libxdg-basedir 1.2.0-4
libxdmcp 1.1.3-1
libxext 1.3.4-1
libxfce4ui 4.13.4-1
libxfce4util 4.13.2-1
libxfixes 5.0.3-2
libxfont2 2.0.3-1
libxft 2.3.3-1
libxi 1.7.9-2
libxinerama 1.1.4-1
libxkbcommon 0.8.4-1
libxkbcommon-x11 0.8.4-1
libxkbfile 1.1.0-1
libxklavier 5.4-2
libxml2 2.9.9-1
libxmlb 0.1.8-1
libxmu 1.1.3-1
libxpm 3.5.12-2
libxrandr 1.5.2-1
libxrender 0.9.10-2
libxres 1.2.0-1
libxshmfence 1.3-1
libxslt 1.1.33-1
libxss 1.2.3-1
libxt 1.1.5-2
libxtst 1.2.3-2
libxv 1.0.11-2
libxvmc 1.0.11-1
libxxf86dga 1.1.5-1
libxxf86misc 1.0.4-1
libxxf86vm 1.1.4-2
libyaml 0.2.1-1
libytnef 1.9.3+7+g24fe30e-1
libzapojit 0.0.3+11+g840627d-3
licenses 20181104-1
lightsoff 3.32.0-1
linux 5.0.5.arch1-1
linux-api-headers 4.17.11-1
linux-firmware 20190313.efd2c1c-1
llvm-libs 8.0.0-1
llvm7-libs 7.0.1-1
lm_sensors 3.5.0-1
lmdb 0.9.23-1
logrotate 3.15.0-1
lsof 4.91-1
lua 5.3.5-2
lua52 5.2.4-4
lua52-bitop 1.0.2-8
lua52-expat 1.3.0-4
lua52-lpeg 1.0.2-1
lua52-luajson 1.3.4-1
lua52-socket 20190219-1
luajit 2.0.5-2
lvm2 2.02.183-2
lz4 1:1.8.3-1
lzo 2.10-2
m4 1.4.18-2
mailcap 2.1.48+14+g5811758-1
make 4.2.1-3
man-db 2.8.5-2
man-pages 5.00-1
mdadm 4.0-2
meld 3.20.1-1
mesa 19.0.1-2
meson 0.49.2-2
metacity 3.30.1-2
metis 5.1.0.p5-1
minizip 1:1.2.11-3
mjpegtools 2.1.0-4
mkinitcpio 25-1
mkinitcpio-busybox 1.30.1-1
mobile-broadband-provider-info 20190116-1
mod_dnssd 0.6-7
modemmanager 1.10.0-1
mousetweaks 3.32.0-1
mozilla-common 1.4-5
mpfr 4.0.2-1
mpg123 1.25.10-1
msgpack-c 3.1.1-1
msr-tools 1.3-3
mtdev 1.1.5-2
mtools 4.0.23-1
mutter 3.32.0+33+g58f7059ea-1
mysql-shell 8.0.11-1
nano 4.0-1
nautilus 3.32.0+5+g73876bdcd-1
nautilus-sendto 3.8.6+14+ge8a3604-1
ncurses 6.1-6
ndctl 64.1-2
neon 0.30.2-3
neovim 0.3.4-2
nerd-fonts-source-code-pro 2.0.0-4
net-snmp 5.8-2
netcf 0.2.8-7
netctl 1.20-1
nettle 3.4.1-1
networkmanager 1.16.0-1
ninja 1.9.0-1
nm-connection-editor 1.8.21dev+3+gb4c365b1-1
nmap 7.70-3
nodejs 11.13.0-1
nordic-theme-git r22.8def2aa-2
notify-osd 0.9.35+16.04.20160415-2
noto-fonts 20190111-1
npth 1.6-1
nspr 4.21-1
nss 3.43-1
ntp 4.2.8.p13-2
numactl 2.0.12-1
oath-toolkit 2.6.2-5
oh-my-zsh-git r4495.2642f0a8-1
oniguruma 6.9.1-1
openal 1.19.1-2
opencore-amr 0.1.5-2
openexr 2.3.0-1
openjpeg2 2.3.0-3
openresolv 3.9.0-2
openssh 7.9p1-1
openssl 1.1.1.b-1
openssl-1.0 1.0.2.r-1
opus 1.3-1
orc 0.4.28-1
orca 3.32.0-1
osinfo-db 20190304-1
ostree 2019.1-1
p11-kit 0.23.15-1
pacman 5.1.3-1
pacman-mirrorlist 20190109-1
pam 1.3.1-1
pambase 20190105.1-1
pango 1:1.43.0-1
pangomm 2.42.0-1
paper-icon-theme 1.5.0-2
parted 3.2-8
patch 2.7.6-7
pavucontrol 1:4.0-1
pciutils 3.6.2-1
pcre 8.43-1
pcre2 10.32-2
pcsclite 1.8.25-1
perl 5.28.1-1
perl-anyevent 4:7.15-1
perl-anyevent-i3 0.17-4
perl-canary-stability 2012-4
perl-common-sense 3.74-4
perl-error 0.17027-1
perl-json-xs 4.0-1
perl-mailtools 2.20-2
perl-timedate 2.30-5
perl-types-serialiser 1.0-4
phodav 2.3-1
pinentry 1.1.0-4
pipewire 0.2.5+3+g371da358-1
pithos 1.4.1-1
pixman 0.38.0-2
pkgconf 1.6.1-1
polari 3.32.0-1
polkit 0.115+24+g5230646-1
polybar 3.3.0-1
poppler 0.75.0-1
poppler-glib 0.75.0-1
popt 1.16-10
portaudio 190600_20161030-2
powerline 2.7-3
powerline-common 2.7-3
powerline-fonts 2.7-3
ppp 2.4.7-5
prezto-git r1763.92e668e1-1
procps-ng 3.3.15-1
prot16-xfce4-terminal 0.1.0-3
protobuf 3.7.0-1
psmisc 23.2-1
pulseaudio 12.2-2
pulseaudio-alsa 2-4
